row_index,label,period_days,t0,duration_days,duration_hours,scale_mean,scale_std,scale_skewness,scale_kurtosis,scale_outlier_resistance,local_noise,depth_stability,acf_lag_1h,acf_lag_3h,acf_lag_6h,acf_lag_12h,acf_lag_24h,cadence_hours,depth_mean_per_transit,depth_std_per_transit,npts_transit_median,cdpp_3h,cdpp_6h,cdpp_12h,SES_mean,SES_std,MES,snr_global,snr_per_transit_mean,snr_per_transit_std,secondary_depth,skewness_flux,kurtosis_flux,outlier_resistance
497,1,22.11037865489316,21.243750000000603,0.10000000000000284,2.400000000000068,-0.022943491403366524,1.0000000000000002,-52.224499411102734,2861.4856814842688,0.06255864873318737,14.87227242466717,1.7261365621053828,0.018825508025107174,-0.0017620065881654308,0.0007332149456634376,-0.00604312947896645,-0.008080938389743227,0.5000000000000142,-0.2883790082337292,0.40317081864041426,19.0,13417604.102838159,14160342.389640765,14527766.982118111,-0.02149258586134091,0.030047899427523995,0.06398767475882464,-0.020365256735931585,-0.02149258586134091,0.030047899427523995,0.42622896752355366,-52.224499411102734,2861.4856814842688,0.06255864873318737
498,1,21.736005623421196,17.075000000000486,0.08750000000000248,2.1000000000000596,-0.011806687838476037,0.9999999999999998,-42.42411304404496,2258.136374120888,0.1876759461995621,2.6870894312491564e-06,1.310140947394406,0.028683331608495535,-0.00010654442384762731,-0.000746359069498146,-9.3487610977541e-05,0.00021562619135024754,0.5000000000000142,-0.11550118208122355,0.2949872260252496,17.0,2617258.5644118665,2769032.130769711,2840289.11437106,-0.04413059666773055,0.1127084767383452,0.20964763502788208,-0.04171175220314889,-0.04413059666773055,0.1127084767383452,1.618391351820847e-05,-42.42411304404496,2258.136374120888,0.1876759461995621
499,1,18.358591668671547,5.378125000000152,0.09375000000000266,2.250000000000064,0.01713639392315556,1.0,55.9951480836234,3153.540580574766,0.03127932436659368,4.527321619576652e-06,1.3376619720203993,0.0008440093070241106,-0.0002725678680373668,-0.0002858843727294939,0.0016330863702667196,-0.00029717918698553617,0.5000000000000142,1.324706976772631,0.8836698483453514,18.0,25820005.6201241,27100406.33148434,27718835.428850558,0.0513054488160202,0.03422423144852531,0.1233458081404552,0.04888144334698152,0.0513054488160202,0.03422423144852531,0.0011730714873497972,55.9951480836234,3153.540580574766,0.03127932436659368
500,1,5.90279857399701,0.48125000000001367,0.10000000000000284,2.400000000000068,0.012598303980183162,0.9999999999999999,31.049666883978663,1167.087967413138,0.1876759461995621,3.33409901372302e-05,0.9863001312799322,-0.043344263193707516,-0.0006919461072726329,-0.0001589835818467233,-0.00016228025963119553,-0.00021505695608299276,0.5000000000000142,7.611406047812655,9.28797698304006,19.0,2447079.2805421664,2586457.664421482,2631343.5654474706,3.110404353604064,3.7955357870474256,16.999073087792816,2.9427916615503977,3.110404353604064,3.7955357870474256,0.002349437708190516,31.049666883978663,1167.087967413138,0.1876759461995621
501,1,16.321058233685907,0.13125000000000372,0.10000000000000284,2.400000000000068,-0.010308542123388276,1.0,-20.33318142626785,720.4336711415776,0.4066312167657179,9.020500479905991e-12,0.9876287674645162,0.04982313504404285,-0.003863837191599341,-0.04263610980141033,7.170093593172644e-05,0.00047672326557653534,0.5000000000000142,5.24791779856682,7.708729713364208,19.0,641304.4434731796,684536.9399566244,705233.1089701374,8.18319263491318,12.020390302638843,32.51572117667631,7.666376337410445,8.18319263491318,12.020390302638843,2.96085378437283e-11,-20.33318142626785,720.4336711415776,0.4066312167657179
502,1,21.984876622712097,3.240625000000092,0.06875000000000195,1.6500000000000468,0.01590878699018639,0.9999999999999999,55.23254858542865,3096.364721982763,0.03127932436659368,32.372768157418136,0.7449670532296508,-0.01438334575198442,-0.00017505229756891588,0.005964128535729425,-0.00040806484323355457,0.00516739567835338,0.5000000000000142,9.693714412674117,24.400262882846093,13.0,29804738.40625221,31107651.289160553,31733924.900911793,0.32524071443085195,0.8186705935901655,1.525781501198089,0.3116183321770708,0.32524071443085195,0.8186705935901655,3.4026360951955326e-05,55.23254858542865,3096.364721982763,0.03127932436659368
503,1,11.273498926752556,1.3375000000000379,0.10000000000000284,2.400000000000068,-0.053130223500830694,1.0,-19.620927835079108,549.568050720691,0.5630278385986863,1.7253137556294538e-07,0.7845077973722134,0.17989751893665246,-0.0069468267004096276,-0.007184266062669164,0.007292032330274715,-0.002263472899052845,0.5000000000000142,4.423313053442517,4.351334895384629,19.0,305727.94546492194,350381.59835889674,367721.69806630525,14.468134559030787,14.232702505384434,49.71298049151734,12.62427328992234,14.468134559030787,14.232702505384434,1.3273841449557011e-05,-19.620927835079108,549.568050720691,0.5630278385986863
504,1,20.33939436868487,8.631250000000245,0.10000000000000284,2.400000000000068,-0.016391150983846033,1.0,-55.80362081620069,3139.0052263237344,0.03127932436659368,9.731666320760768e-06,1.6964548928257304,-0.003417518812864311,-0.002010009295552871,-0.015680189678071343,-0.00013902929999799334,-0.00022139527517115048,0.5000000000000142,-0.04016514826845404,0.8812039838691389,19.0,18084211.074702118,18928226.04292717,19320957.225978095,-0.0022210063852130557,0.048727809039004706,0.08448666598531746,-0.0021219710805103357,-0.0022210063852130557,0.048727809039004706,4.799463255722447e-05,-55.80362081620069,3139.0052263237344,0.03127932436659368
505,1,18.568792251672534,0.39375000000001115,0.08750000000000248,2.1000000000000596,0.02856705337358941,1.0,10.53167436477667,309.43786983782894,0.5004691898654989,0.26804778368088467,0.8561660500060173,0.18628996218367877,0.11349602833903019,0.041413799343672314,-0.002759940202495741,0.00017849116799849638,0.5000000000000142,0.7538111239543004,0.7876496916268713,17.0,213887.62486022178,229192.49519647897,243041.50021560478,3.524332576262536,3.682539801644018,10.194512150916824,3.2889869422124125,3.524332576262536,3.682539801644018,0.00036911814706719337,10.53167436477667,309.43786983782894,0.5004691898654989
506,1,12.753280838337199,5.075000000000144,0.10000000000000284,2.400000000000068,0.015066016899794052,1.0,20.556096957193304,1453.6166102595917,0.15639662183296843,1.1100490125068507,1.9892805196997323,0.12081460055051119,-0.00022743342806114233,-0.0002278329263085196,-0.00022866810125474524,-0.0002268607005524427,0.5000000000000142,6.772926292043861,12.584798140534087,19.0,1089092.6666803274,1091978.0253292515,1100813.3410500465,6.218870532558515,11.555305187109482,29.342752824842794,6.202438267932817,6.218870532558515,11.555305187109482,0.0002614677843586488,20.556096957193304,1453.6166102595917,0.15639662183296843
