row_index,label,period_days,t0,duration_days,duration_hours,scale_mean,scale_std,scale_skewness,scale_kurtosis,scale_outlier_resistance,local_noise,depth_stability,acf_lag_1h,acf_lag_3h,acf_lag_6h,acf_lag_12h,acf_lag_24h,cadence_hours,depth_mean_per_transit,depth_std_per_transit,npts_transit_median,cdpp_3h,cdpp_6h,cdpp_12h,SES_mean,SES_std,MES,snr_global,snr_per_transit_mean,snr_per_transit_std,secondary_depth,skewness_flux,kurtosis_flux,outlier_resistance
0,2,17.57463166341603,5.462500000000155,0.09000000000000001,2.16,-0.023033722325637437,1.0,-43.660678208591314,2117.7537246629954,0.09383797309978105,3.919132617240364,1.0975465368616812,0.006776499322746854,-0.0006473070676866932,-0.0013542987630803657,-0.013420488716330137,-0.0003523011064711077,0.5000000000000142,49.86117118981157,86.05429890069736,17.0,3557696.0870851283,3749339.5334305153,3835665.128893016,14.015017013626801,24.188209671164714,55.91029203960483,13.2986545350803,14.015017013626801,24.188209671164714,2.2741852223617798e-07,-43.660678208591314,2117.7537246629954,0.09383797309978105
1,2,2.9031105714307546,0.634375000000018,0.0812500000000023,1.9500000000000552,0.02426360199584036,1.0,54.72981113763478,3052.431560682502,0.06255864873318737,116.65447244310434,1.8616952538400464,0.00020183363351818542,-0.0008049465329057323,-0.003325558659979729,0.00029702012218703897,-0.006143437782357095,0.5000000000000142,3.8969030840391934,18.821087113127067,16.0,106472680.72358121,111634413.57397386,114209411.13383538,0.03660002789031048,0.17676916731334483,0.8657359370773345,0.03490772208389785,0.03660002789031048,0.17676916731334483,38.27033997010632,54.72981113763478,3052.431560682502,0.06255864873318737
2,2,21.81864801064326,15.978125000000453,0.09375000000000266,2.250000000000064,0.006623303858115631,1.0,-2.5358434011072544,443.75329457186155,0.46918986549890523,3.159278870253801e-07,0.9799242228037521,0.010796210649125552,0.04666844743921469,0.0028983474977064528,0.004265209472104822,0.017393902699250525,0.5000000000000142,-0.5374917942880427,0.41945657823449606,18.0,2660058.3521671877,2787378.397656997,2863720.9181484794,-0.20206015174446848,0.157686983780923,0.4439374610581631,-0.19283058042634085,-0.20206015174446848,0.157686983780923,3.2562020610331803,-2.5358434011072544,443.75329457186155,0.46918986549890523
3,2,12.162439537384278,0.3062500000000087,0.09000000000000001,2.16,0.020119870716196815,1.0,-7.241009266935485,555.6430088354329,0.5004691898654989,0.718496310918351,1.4174797163632957,0.009240686802101921,0.04298973044715908,0.01817008448006123,0.02550292370984048,-0.0036655821681733382,0.5000000000000142,-0.284883363785706,0.9336705438691901,17.0,629043.8057685507,668251.2103299784,686811.2380773613,-0.4528831874238746,1.4842695139942659,3.8011781107630163,-0.42631178123124136,-0.4528831874238746,1.4842695139942659,0.490378864399737,-7.241009266935485,555.6430088354329,0.5004691898654989
4,2,17.08147989918594,0.12500000000000355,0.08750000000000248,2.1000000000000596,-0.05151981125675137,1.0,-33.18673816289206,1456.8502731863655,0.28151391929934316,2.4817354592432393e-08,1.0423461542225396,0.007796327707878112,-0.0030106468533601925,0.04319428855519366,0.021812999437432735,-0.002564678509115317,0.5000000000000142,1.5272640228555103,2.6157911110540772,17.0,1675874.4802938208,1771297.576593522,1804380.8819908253,0.9113236348033323,1.560851449086728,3.6148405295212105,0.8622289348990553,0.9113236348033323,1.560851449086728,1.7218590609216435,-33.18673816289206,1456.8502731863655,0.28151391929934316
5,2,21.86008696006243,12.337500000000349,0.09000000000000001,2.16,-0.018685477166969222,1.0,-54.610909815507405,3037.286837072033,0.06255864873318737,2.73999924831127,1.422435518569834,-0.00019910314967696633,-0.00033546422719127377,-0.00035328043387989195,-0.00033949999898492,-0.00032565311652855354,0.5000000000000142,0.16054647942116196,0.14383294212960876,17.0,2501268.8701211717,2623604.423194144,2682678.5946866847,0.06418601428217689,0.057503990813526945,0.14926372689552547,0.06119309679532496,0.06418601428217689,0.057503990813526945,4.94786591587193e-06,-54.610909815507405,3037.286837072033,0.06255864873318737
6,2,12.972938695046482,6.662500000000189,0.09000000000000001,2.16,-0.0016961817134724712,1.0,1.3385081632636102,308.0807750817358,0.5004691898654989,3.041182003737013e-05,0.9573490487658333,0.21195751426518866,0.08261792236539113,0.005317293744927866,0.003271287077896181,-0.013780124685157113,0.5000000000000142,1.702378872826604,5.927302543968449,17.0,1046184.0187811962,1148796.3081959842,1241722.978120555,1.6272269909168315,5.665640496854227,13.180923700477683,1.481880521969939,1.6272269909168315,5.665640496854227,6.244273216719236,1.3385081632636102,308.0807750817358,0.5004691898654989
7,2,0.5302925530825247,0.2750000000000078,0.09000000000000001,2.16,0.01521555180448231,0.9999999999999998,50.05541297141679,2674.2397072761746,0.09383797309978105,2.688370015253794e-07,2.977179108514035,-0.005336535628017251,-0.00029135176420632704,-0.00020345597336321526,-0.0003295098541567526,0.00117951774198505,0.5000000000000142,8.353515252212828,28.446826744696445,17.0,41858721.41227409,43887990.958479695,44845640.64789854,0.1995645105816193,0.6795913918277274,7.9505016929740755,0.19033715305208854,0.1995645105816193,0.6795913918277274,33.791354882565024,50.05541297141679,2674.2397072761746,0.09383797309978105
8,2,21.984876622712097,7.612500000000216,0.06250000000000178,1.5000000000000426,0.032471965108180206,1.0,40.91236510201349,2053.8264021466434,0.25023459493274947,3.386016859317309,0.6243716410445675,0.018620873573129585,0.008231261596767311,-0.00820803391699776,0.007564426664046268,-0.0006447175392335558,0.5000000000000142,-0.9760709726167928,0.7432080979158922,12.0,3037690.9981302833,3208089.3233257816,3300992.3164222836,-0.32132003328105796,0.24466217873158963,0.6995129994991413,-0.30425305352935544,-0.32132003328105796,0.24466217873158963,7.075047896987208e-06,40.91236510201349,2053.8264021466434,0.25023459493274947
9,2,18.32379030887115,18.31875000000052,0.09000000000000001,2.16,0.02681260225448834,0.9999999999999998,45.13683821226107,2411.1465429915484,0.15639662183296843,9.404384484490435e-11,0.9836973075579779,0.05220968658297565,0.004621345175698694,0.030621547720002005,0.01993949699627858,0.01864035555335483,0.5000000000000142,0.03368151085113848,0.13155713297125557,17.0,6644660.400390144,7093143.958975069,7280898.416293347,0.00506895895675283,0.019798925008045726,0.04087501811030611,0.004748460068757059,0.00506895895675283,0.019798925008045726,0.847491920248636,45.13683821226107,2411.1465429915484,0.15639662183296843
