time,flux,flux_err
120.53924799271772,0.9990251,7.380905e-05
120.55968225803372,0.99902344,7.3564406e-05
120.58011642323254,0.99928164,7.352418e-05
120.60055078842561,0.999454,7.328575e-05
120.62098505362519,0.9994244,7.334218e-05
120.6414192187076,0.9995346,7.338199e-05
120.66185348378349,0.9994621,7.317654e-05
120.68228784886742,0.99959373,7.3537296e-05
120.70272201383341,0.999714,7.349462e-05
120.72315627879289,0.9998417,7.318128e-05
120.7435906437604,0.9998396,7.34087e-05
120.76402480860997,0.9998941,7.362601e-05
120.78445907345304,0.9999015,7.356296e-05
120.80489333818696,0.9999374,7.3658026e-05
120.8253276030373,1.0000827,7.3394986e-05
120.84576186776394,1.00005,7.356445e-05
120.86619613238145,1.0001949,7.342447e-05
120.88663049699971,1.0002085,7.345454e-05
120.90706466160918,1.0002054,7.337957e-05
120.92749892622669,1.0002142,7.33701e-05
120.94793329072127,1.0003297,7.3430194e-05
120.9683674552216,1.0002172,7.354412e-05
120.98880171960627,1.0003784,7.3426e-05
121.00923588399019,1.0003972,7.360034e-05
121.02967024836835,1.0005643,7.346352e-05
121.05010451263661,1.000599,7.35262e-05
121.07053877690487,1.0005434,7.3387004e-05
121.09097304116585,1.0006754,7.340154e-05
121.1114073053177,1.0006807,7.35009e-05
121.13184156946954,1.0009565,7.346058e-05
121.15227573361335,1.0007446,7.336873e-05
121.17271009764954,1.0009686,7.346069e-05
121.19314436168497,1.00118,7.348082e-05
121.21357852571236,1.0011066,7.382025e-05
121.23401288963214,1.0010395,7.3771684e-05
121.25444715355115,1.0009718,7.381081e-05
121.27488131734572,1.0010085,7.3820636e-05
121.29531558114832,1.0012119,7.3897565e-05
121.31574994495168,1.0011115,7.395306e-05
121.336184208747,1.0011401,7.390978e-05
121.35661837243242,1.0012513,7.391608e-05
121.37705273600295,1.0012219,7.392883e-05
121.39748699968186,1.0013571,7.3910734e-05
121.41792116313445,1.0011178,7.390223e-05
121.43835542670422,1.0011537,7.389624e-05
121.45878979015106,1.0011376,7.3937576e-05
121.47922395360365,1.0010802,7.391133e-05
121.499658217057,1.0011274,7.397481e-05
121.52009248038667,1.0010582,7.393292e-05
121.54052684360795,1.0011005,7.3914794e-05
121.56096110694489,1.0008714,7.398457e-05
121.58139527015737,1.0007534,7.388567e-05
121.60182963326224,1.0006627,7.397486e-05
121.62226389648276,1.0004033,7.38268e-05
121.64269805957883,1.0003146,7.391802e-05
121.66313232256653,0.9977007,7.3814575e-05
121.68356668555498,0.99807334,7.374493e-05
121.70400084853463,1.0000114,7.394217e-05
121.72443511140591,0.9997454,7.392435e-05
121.74486947427795,0.9995276,7.395321e-05
121.76530363714119,0.99929917,7.387385e-05
121.78573789989605,0.99913025,7.37353e-05
121.80617216265091,0.99906754,7.392239e-05
121.8266064253985,0.99883556,7.38025e-05
121.84704068803694,0.9986242,7.379714e-05
121.86747495067539,0.9984795,7.382337e-05
121.88790921319014,0.9983389,7.382895e-05
121.90834347571217,0.9980214,7.3747724e-05
121.9287777382342,0.9980045,7.369587e-05
121.94921190063178,0.99783194,7.3839095e-05
121.96964626303816,0.99755466,7.374063e-05
