time,flux,flux_err
260.2157837174309,0.9974135,8.674701e-05
260.21646490392595,0.9974097,8.673803e-05
260.2171459901874,0.9974821,8.673221e-05
260.2178270766817,0.9973728,8.672069e-05
260.2185080631825,0.997318,8.6711356e-05
260.21918924944475,0.99740523,8.670893e-05
260.21987033593905,0.99722165,8.669755e-05
260.22055142243335,0.9972247,8.6692635e-05
260.2212326086956,0.9972139,8.668941e-05
260.22191369518987,0.9973269,8.6690045e-05
260.22259478169144,0.9971258,8.6679844e-05
260.22327596795367,0.99704057,8.667356e-05
260.2239569544472,0.9970636,8.667311e-05
260.2246380409415,0.9970295,8.666999e-05
260.2253192272037,0.99693084,8.666575e-05
260.2260003137053,0.9971197,8.6670465e-05
260.22668139996676,0.9971309,8.666943e-05
260.2273625864618,0.9969228,8.666313e-05
260.2280436729561,0.9969592,8.666273e-05
260.2287247592176,0.9969838,8.666413e-05
260.22940584571916,0.997009,8.6664804e-05
260.23008693221345,0.997098,8.666744e-05
260.2307680184749,0.99702996,8.6666034e-05
260.2314491049692,0.9969058,8.666098e-05
260.23213029123144,0.99704945,8.666659e-05
260.232811377733,0.99697316,8.66643e-05
260.2334924642273,0.99706143,8.6666565e-05
260.23417365048954,0.9970513,8.6667955e-05
260.2348546369831,0.9969033,8.666194e-05
260.23553572347737,0.99689573,8.666266e-05
260.2362169097396,0.9969308,8.666513e-05
260.23689799624117,0.9968598,8.666289e-05
260.23757908250263,0.997039,8.6669366e-05
260.2382602689977,0.99700785,8.6667234e-05
260.238941355492,0.99715775,8.6674496e-05
260.23962244175345,0.9969683,8.6667314e-05
260.24030342825426,0.99693006,8.666659e-05
260.2409846147493,0.99698263,8.66678e-05
260.2416657010108,0.9969049,8.666526e-05
260.24234688750585,0.99704015,8.667046e-05
260.2430279737673,0.99697554,8.6669075e-05
260.2437090602689,0.99711394,8.6672946e-05
260.24439024676394,0.99718654,8.667554e-05
260.2450713330254,0.9970654,8.667113e-05
260.24575231951894,0.9970536,8.667008e-05
260.24643350578117,0.9971657,8.667368e-05
260.24711459228274,0.9968433,8.666138e-05
260.24779567877704,0.9970726,8.666898e-05
260.24847686503927,0.9971078,8.6668304e-05
260.24915795153356,0.9972148,8.6671505e-05
260.249839037795,0.9972121,8.667042e-05
260.2505202242901,0.9970975,8.666543e-05
260.2512012107909,0.9973289,8.667102e-05
260.25188229705236,0.99719006,8.6665226e-05
260.2525634835474,0.99713045,8.6660715e-05
260.2532445698089,0.99724054,8.666204e-05
260.2539256563032,0.9971219,8.665704e-05
260.2546068428055,0.99712634,8.665363e-05
260.255287929067,0.9971573,8.665183e-05
260.2559690155613,0.9970937,8.6645836e-05
260.25665010182274,0.9972362,8.664749e-05
260.25733118831704,0.99728656,8.6646025e-05
260.2580122745858,0.99725807,8.6641296e-05
260.2586933610801,0.9972313,8.663568e-05
260.25937454757513,0.99714535,8.662853e-05
260.2600556338366,0.99739796,8.663196e-05
260.2607367203309,0.9973274,8.662379e-05
260.2614179065931,0.9971765,8.661329e-05
260.26209889309393,0.99721366,8.660758e-05
260.2627799793554,0.9973939,8.660741e-05
260.26346116585046,0.997188,8.659268e-05
260.26414225234475,0.9973123,8.659062e-05
260.2648233386062,0.997421,8.65855e-05
260.2655044251078,0.9972509,8.6571396e-05
260.26618561137,0.997319,8.656485e-05
260.2668666978643,0.9973088,8.655466e-05
260.26754768435785,0.99732363,8.6545144e-05
260.2682288706201,0.99736226,8.653495e-05
260.26890995712165,0.99739295,8.652557e-05
260.2695910433831,0.9973396,8.6513675e-05
260.2702722298782,0.9974712,8.650535e-05
260.27095331613964,0.9974013,8.649089e-05
260.2716345026347,0.99745685,8.648005e-05
260.27231558889616,0.99730223,8.646309e-05
260.27299667539774,0.9974131,8.645501e-05
260.27367766189127,0.9973739,8.6440734e-05
260.2743588481535,0.9974253,8.643036e-05
260.2750399346478,0.99720633,8.641036e-05
260.27572112091,0.9972197,8.639821e-05
260.2764022074116,0.9972959,8.638898e-05
260.27708329367306,0.99720716,8.637298e-05
260.2777644801681,0.99707645,8.635648e-05
260.2784455664296,0.9972333,8.63488e-05
260.2791265529231,0.99725723,8.633874e-05
260.27980773942545,0.9971656,8.632539e-05
260.2804888256869,0.9971552,8.6314256e-05
260.2811699121812,0.9972722,8.630825e-05
260.28185109844344,0.99724317,8.629705e-05
260.28253218493774,0.997297,8.6289736e-05
260.2832132711992,0.99718213,8.6275824e-05
260.28389445770154,0.99723494,8.626903e-05
260.28457544396224,0.9972445,8.626214e-05
260.28525653045654,0.9970406,8.624785e-05
260.285937616718,0.99724376,8.6247805e-05
260.28661880321306,0.9972264,8.624137e-05
260.2872998894818,0.99718577,8.623552e-05
260.2879809759761,0.997162,8.623047e-05
260.2886621622383,0.99718404,8.6228196e-05
260.2893432487326,0.9971585,8.622379e-05
260.29002423522616,0.99727213,8.622647e-05
260.29070542149566,0.9969992,8.6216074e-05
260.29138650798996,0.99718887,8.6221684e-05
260.2920675942514,0.9972393,8.622375e-05
260.2927486807457,0.9972968,8.622777e-05
260.29342986700794,0.99720734,8.622493e-05
260.2941109535095,0.9972032,8.6227235e-05
260.294792039771,0.99717325,8.622824e-05
260.2954731262653,0.9971607,8.62312e-05
260.29615421252674,0.99722487,8.623681e-05
260.29683529902104,0.9972888,8.624352e-05
260.29751648528327,0.99722195,8.6246146e-05
260.29819757178484,0.9972565,8.625442e-05
260.2988786580463,0.99705255,8.625256e-05
260.29955984454136,0.9971726,8.626386e-05
260.30024093080283,0.99700904,8.6265005e-05
260.30092191730364,0.9971721,8.627855e-05
260.3016030035651,0.9971867,8.6287786e-05
260.30228419006016,0.99717534,8.629508e-05
260.30296527632163,0.99721915,8.6305816e-05
260.3036464628167,0.9972321,8.631576e-05
260.30432754907815,0.99723244,8.6326385e-05
260.3050087355732,0.9971097,8.633065e-05
260.30568982184195,0.9971992,8.634479e-05
260.3063708083355,0.99699783,8.6347616e-05
260.30705189459695,0.9971962,8.6366614e-05
260.307733081092,0.9970158,8.6370885e-05
260.30841416736075,0.9971779,8.6387976e-05
260.30909525385505,0.9972183,8.640169e-05
260.3097764401173,0.99715894,8.641199e-05
260.3104575266116,0.9973031,8.642782e-05
260.31113861287304,0.9971591,8.643577e-05
260.31181969936733,0.9971396,8.644603e-05
260.3125007856361,0.9972188,8.646074e-05
260.3131818721304,0.9971533,8.64717e-05
260.3138630583926,0.9972235,8.6486616e-05
260.3145441448869,0.99723214,8.649811e-05
260.31522523114836,0.9970787,8.650405e-05
260.3159064176507,0.99697995,8.651165e-05
260.31658750391216,0.997009,8.652464e-05
260.3172684904057,0.9970441,8.653651e-05
260.3179496766679,0.99698013,8.654393e-05
260.3186307631622,0.99713725,8.655939e-05
260.31931184943096,0.9969136,8.656055e-05
260.31999293592526,0.997127,8.657753e-05
260.3206741221875,0.9970377,8.658281e-05
260.3213552086818,0.9970901,8.65923e-05
260.32203629494325,0.9970483,8.659727e-05
260.322717381212,0.9970752,8.660463e-05
260.3233984677063,0.9971388,8.6612556e-05
260.32407955396775,0.9968466,8.660635e-05
260.32476064046205,0.9969781,8.661466e-05
260.3254418267243,0.9971403,8.662235e-05
260.32612291321857,0.9969251,8.6616186e-05
260.3268040994881,0.9968722,8.661395e-05
260.32748518598237,0.996955,8.6615626e-05
260.3281661722431,0.9970679,8.6618405e-05
260.32884725873737,0.996943,8.660978e-05
260.3295284449996,0.9970357,8.6609354e-05
260.33020953150117,0.9969908,8.6601794e-05
